"scientificName";"decimalLongitude";"decimalLatitude";"wc2.1_30s_bio_1";"wc2.1_30s_bio_2";"wc2.1_30s_bio_3";"wc2.1_30s_bio_4";"wc2.1_30s_bio_5";"wc2.1_30s_bio_6";"wc2.1_30s_bio_7";"wc2.1_30s_bio_8";"wc2.1_30s_bio_9";"wc2.1_30s_bio_10";"wc2.1_30s_bio_11";"wc2.1_30s_bio_12";"wc2.1_30s_bio_13";"wc2.1_30s_bio_14";"wc2.1_30s_bio_15";"wc2.1_30s_bio_16";"wc2.1_30s_bio_17";"wc2.1_30s_bio_18";"wc2.1_30s_bio_19";"swc_fr";"stress"
"Dichotomius agenor";-72,587454;11,1414719999999;28,0833339691162;9,86666679382324;78,3068771362305;83,9191665649414;34,2000007629395;21,6000003814697;12,6000003814697;27,8499984741211;27,3999996185303;29,1499996185303;27,0666656494141;1032;166;8;63,5414924621582;436;35;264;82;57,0011177062988;-49,0011177062988
"Dichotomius agenor";-72,527893;11,1577720000001;28,0041656494141;9,79166603088379;78,3333435058594;83,6512603759766;34,0999984741211;21,6000003814697;12,4999980926514;27,783332824707;27,3166656494141;29,0666656494141;26,9833335876465;1057;176;6;71,9980773925781;447;27;253;45;57,9993286132812;-47
"Dichotomius agenor";-75,217439;8,03022199999985;27,5750007629395;10,3000001907349;83,7398300170898;45,5521774291992;34,2000007629395;21,8999996185303;12,3000011444092;27,3333320617676;28,0666656494141;28,2666664123535;27,1666660308838;2428;418;21;65,4467468261719;1083;105;254;860;71;-79,0004272460938
"Dichotomius agenor";-74,214111;6,1014170000001;26,2999992370605;9,43333339691162;88,1619873046875;34,8372993469238;31,7000007629395;21;10,7000007629395;25,8999996185303;26,466667175293;26,5833339691162;25,8333339691162;2714;336;89;35,8071746826172;915;395;582;837;92,0004119873047;-94,9993362426758
"Dichotomius agenor";-73,035183;11,075961;26,8791656494141;10,2249994277954;79,2635803222656;76,9432678222656;33,0999984741211;20,2000007629395;12,8999977111816;26,6333332061768;26,283332824707;27,8333320617676;25,9333324432373;1132;212;13;69,4865112304688;503;41;297;68;67,0002212524414;-58,0002250671387
"Dichotomius agenor";-72,957722;11,0153360000002;23,9874992370605;9,52500057220459;78,7190093994141;72,9920501708984;29,7000007629395;17,6000003814697;12,1000003814697;23,8333339691162;23,3166675567627;24,8666667938232;23,0499992370605;1220;239;18;70,7705535888672;568;61;266;80;67,9997711181641;-61,0004425048828
"Dichotomius agenor";-72,952203;11,023222;23,5583343505859;9,43333339691162;77,9614410400391;75,1614379882812;29,2999992370605;17,2000007629395;12,0999984741211;23,4500007629395;22,8333339691162;24,466667175293;22,5833339691162;1206;235;12;65,3879852294922;527;65;307;96;69,0002212524414;-62,0008964538574
"Dichotomius agenor";-73,009831;11,120289;27,3083324432373;10,3499994277954;79,0076293945312;79,8246002197266;33,7000007629395;20,6000003814697;13,1000003814697;27,0499992370605;26,6833324432373;28,3166656494141;26,3333339691162;1011;154;11;68,6267166137695;447;35;257;71;67;-57
"Dichotomius agenor";-72,910531;11,143175;27,4541664123535;10,1749992370605;78,8759689331055;81,1412506103516;33,7999992370605;20,8999996185303;12,8999996185303;27,1833324432373;26,8166656494141;28,5;26,4833335876465;1072;161;8;65,662109375;436;38;266;63;68;-59
"Dichotomius agenor";-72,917575;11,1490499999999;27,4416656494141;10,1999998092651;78,4615325927734;81,6264724731445;33,7999992370605;20,7999992370605;13;27,1833324432373;26,783332824707;28,4833335876465;26,4499988555908;1077;218;12;73,0349273681641;431;39;245;84;67,9993286132812;-58,9993286132812
